                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.29939,                0.57195,                 1.0285,                0.57364,                0.66953,                0.60819,                0.48817,                0.84648,                0.94972,                0.94422,              0.0010894,              0.0010894,              0.0010894
                     37,                0.28077,                0.54845,                  1.016,                0.66396,                0.57242,                0.58464,                0.45821,                0.90954,                 1.1092,                0.94483,              0.0010729,              0.0010729,              0.0010729
                     38,                0.30011,                 0.5571,                 1.0252,                0.60009,                  0.629,                0.60465,                0.47584,                0.87741,                 1.0624,                0.93977,              0.0010564,              0.0010564,              0.0010564
                     39,                0.29106,                0.54727,                  1.027,                0.60669,                 0.6663,                0.62262,                0.49177,                0.84093,                0.97317,                0.92889,              0.0010399,              0.0010399,              0.0010399
                     40,                0.27908,                0.53042,                 1.0174,                0.63518,                0.62648,                0.60122,                0.48069,                0.90643,                 1.0975,                0.89774,              0.0010234,              0.0010234,              0.0010234
                     41,                0.27463,                 0.5324,                 1.0124,                0.68369,                0.63592,                0.62367,                0.49757,                0.88592,                 1.1478,                0.92318,              0.0010069,              0.0010069,              0.0010069
                     42,                0.28917,                0.55437,                  1.017,                0.62122,                0.65341,                0.64127,                0.49585,                0.89664,                 0.9577,                0.90099,             0.00099036,             0.00099036,             0.00099036
                     43,                0.29858,                0.54191,                 1.0231,                0.58445,                0.64306,                0.60092,                0.47628,                0.89009,                 1.0606,                0.91855,             0.00097386,             0.00097386,             0.00097386
                     44,                0.29475,                 0.5497,                 1.0205,                0.71955,                0.61711,                0.60021,                0.48404,                0.89781,                  1.055,                0.93409,             0.00095736,             0.00095736,             0.00095736
                     45,                0.27495,                0.52196,                 1.0124,                0.64018,                0.62123,                0.62575,                0.49635,                0.91216,                 1.0236,                0.95102,             0.00094085,             0.00094085,             0.00094085
                     46,                0.28314,                0.52097,                 1.0184,                0.60709,                0.67297,                0.64421,                0.48682,                0.99231,                  1.015,                 1.0282,             0.00092435,             0.00092435,             0.00092435
                     47,                0.29365,                0.52163,                 1.0261,                0.67068,                 0.6663,                0.63897,                0.48142,                0.92417,                0.94991,                0.96629,             0.00090785,             0.00090785,             0.00090785
                     48,                0.28583,                0.51132,                 1.0145,                0.60358,                0.64592,                0.61297,                0.49572,                0.89274,                 1.0379,                0.92377,             0.00089134,             0.00089134,             0.00089134
                     49,                0.28618,                0.53193,                 1.0177,                0.63498,                0.67898,                0.64128,                0.50931,                0.87241,                0.95761,                0.91953,             0.00087484,             0.00087484,             0.00087484
                     50,                0.28549,                0.51184,                 1.0179,                0.70976,                0.61562,                0.63712,                0.49944,                0.86718,                 1.0324,                 0.9176,             0.00085834,             0.00085834,             0.00085834
                     51,                0.27132,                0.50873,                 1.0051,                0.63837,                0.66288,                0.63072,                0.48166,                0.88466,                0.92045,                0.98425,             0.00084184,             0.00084184,             0.00084184
                     52,                0.27989,                0.51384,                 1.0178,                0.67682,                0.67646,                 0.6616,                0.50423,                0.87837,                 1.0554,                0.92984,             0.00082533,             0.00082533,             0.00082533
                     53,                0.27849,                0.50013,                 1.0098,                 0.6819,                0.68306,                0.65187,                0.51041,                0.90515,                0.93877,                0.97488,             0.00080883,             0.00080883,             0.00080883
                     54,                0.27948,                0.50634,                 1.0149,                0.72442,                0.61982,                0.64002,                0.49825,                0.87439,                 1.1127,                0.89991,             0.00079233,             0.00079233,             0.00079233
                     55,                0.28325,                0.49453,                   1.01,                 0.8318,                0.64968,                0.69221,                0.52611,                0.88677,                 0.9852,                0.91183,             0.00077582,             0.00077582,             0.00077582
                     56,                0.27103,                0.48845,                 1.0096,                0.65425,                0.64324,                0.62919,                0.50931,                0.91641,                0.98068,                0.94051,             0.00075932,             0.00075932,             0.00075932
                     57,                0.26518,                0.47914,                 1.0013,                0.67187,                 0.6494,                0.65615,                0.49428,                0.94027,                0.98271,                 0.9311,             0.00074282,             0.00074282,             0.00074282
                     58,                0.27302,                0.48339,                 1.0106,                0.70537,                0.63263,                0.63309,                0.50961,                 0.8948,                 1.0606,                0.91132,             0.00072631,             0.00072631,             0.00072631
                     59,                0.27265,                0.49119,                 1.0036,                0.74326,                0.64936,                0.66092,                0.52087,                 0.8957,                0.98109,                0.89944,             0.00070981,             0.00070981,             0.00070981
                     60,                0.26967,                0.46823,                  1.001,                0.63765,                0.65326,                 0.6428,                0.51034,                0.86589,                0.97752,                 0.8975,             0.00069331,             0.00069331,             0.00069331
                     61,                0.27251,                0.46438,                  1.001,                0.73281,                0.69315,                0.67872,                0.52118,                0.87646,                 1.0288,                0.93365,              0.0006768,              0.0006768,              0.0006768
                     62,                0.27407,                0.46861,                 1.0016,                0.70548,                0.64973,                0.64295,                0.51022,                 0.8701,                 1.0385,                0.90035,              0.0006603,              0.0006603,              0.0006603
                     63,                0.27793,                0.46995,                 1.0031,                0.71591,                0.63316,                0.64026,                0.50783,                 0.8723,                 1.0441,                 0.8814,              0.0006438,              0.0006438,              0.0006438
                     64,                0.26103,                0.45958,                0.99457,                0.68747,                0.65763,                0.65026,                0.51809,                0.93109,                 1.0593,                0.96011,             0.00062729,             0.00062729,             0.00062729
                     65,                0.26327,                 0.4526,                 1.0019,                0.68301,                0.66393,                0.63622,                0.49872,                 0.8991,                0.99467,                0.91943,             0.00061079,             0.00061079,             0.00061079
                     66,                 0.2615,                0.45416,                0.99789,                0.72746,                0.62973,                0.65314,                0.51726,                  0.936,                 1.0224,                 1.0001,             0.00059429,             0.00059429,             0.00059429
                     67,                0.25157,                 0.4333,                0.99472,                0.82569,                0.62954,                0.66277,                0.51767,                0.89646,                 0.9453,                0.98074,             0.00057778,             0.00057778,             0.00057778
                     68,                0.25536,                0.45172,                0.99667,                0.73531,                0.63748,                0.65261,                0.50643,                 0.9034,                0.95814,                0.93478,             0.00056128,             0.00056128,             0.00056128
                     69,                0.25027,                0.42426,                0.99202,                 0.6797,                 0.6693,                0.64763,                0.51227,                0.86111,                 1.0642,                0.88078,             0.00054478,             0.00054478,             0.00054478
                     70,                0.26023,                0.44531,                0.99191,                0.81964,                0.66854,                0.70317,                 0.5346,                0.84985,                 0.9605,                0.88924,             0.00052827,             0.00052827,             0.00052827
